agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu,county_name,county_fips
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70332,,0,,sed,SED,17164666,0,1982-12-17,1983-02-03,3,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70332,,0,,wat,SED,17164666,0,1980-11-04,1982-05-05,13,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70333,,0,,sed,SED,17164666,0,1982-12-17,1983-02-03,3,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70333,,0,,wat,SED,17164666,0,1980-11-04,1982-05-05,13,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70334,,0,,sed,SED,17164666,0,1982-12-17,1983-02-03,3,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70334,,0,,wat,SED,17164666,0,1980-12-05,1982-05-05,11,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70335,,0,,sed,SED,17164666,0,1983-01-24,1983-02-03,2,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70335,,0,,wat,SED,17164666,0,1980-12-22,1982-04-12,7,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70336,,0,,wat,SED,17164666,0,1981-01-28,1981-01-28,1,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70337,,0,,sed,SED,17164666,0,1982-12-17,1983-02-03,2,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70337,,0,,wat,SED,17164666,0,1981-01-29,1982-04-12,3,Glenn,06021
USGS,11387200,STONY C AB BLACK BUTTE LK NR ORLAND CA,ST,39.7321012,-122.4149926,F,NAD83,,,,18020115,qw,70338,,0,,sed,SED,17164666,0,1982-11-18,1983-03-01,5,Glenn,06021
