site_index,site_id,station_name,data_type,start_year,end_year,year_start,year_end,decade_start,decade_end,decade,closest_stream_order,distance_to_stream_km,longitude,latitude
795,,Unknown,Historical,1920,1955,1920,1955,1920,1950,1920,5,0.11303192063903253,-119.686389,34.524444
796,,Unknown,Historical,,,,,,,,5,1.4909813789141426,-120.4489,34.6481
797,,Unknown,Historical,1941,1946,1941,1946,1940,1940,1940,5,0.043207651242742895,-120.494444,34.670833
798,,Unknown,Historical,1957,1957,1957,1957,1950,1950,1950,1,0.1889564294368034,-120.17,34.6925
799,,Unknown,Historical,1942,1943,1942,1943,1940,1940,1940,5,0.043207651242742895,-120.494444,34.670833
800,,Unknown,Historical,1968,1970,1968,1970,1960,1970,1960,2,0.34908563296601586,-120.4669,34.6375
802,,Unknown,Historical,,,,,,,,1,0.073578696,-120.06,34.66
803,,Unknown,Historical,1947,1953,1947,1953,1940,1950,1940,5,1.2860067009266427,-120.591667,34.690278
804,,Unknown,Historical,1906,1915,1906,1915,1900,1910,1900,2,1.2438409487679143,-120.4498,34.6323
805,,Unknown,Historical,1963,1963,1963,1963,1960,1960,1960,3,1.2489013378387497,-120.095,34.6444
806,,Unknown,Historical,,,,,,,,1,0.4219649366327822,-120.1581,34.6503
807,,Unknown,Historical,1954,1961,1954,1961,1950,1960,1950,5,0.034248069114797684,-120.474722,34.668333
808,,Unknown,Historical,1943,1944,1943,1944,1940,1940,1940,5,0.034656038,-120.4305556,34.6416667
809,,Unknown,Historical,1954,1961,1954,1961,1950,1960,1950,5,0.19167317137301937,-120.391667,34.633333
810,,Unknown,Historical,1920,1954,1920,1954,1920,1950,1920,5,0.11303192063903253,-119.686389,34.524444
811,,Unknown,Historical,1977,1978,1977,1978,1970,1970,1970,5,0.6552377803670455,-120.4265,34.6471
812,,Unknown,Historical,1959,1960,1959,1960,1950,1960,1950,5,0.071180234,-120.1,34.584
813,,Unknown,Historical,1954,1955,1954,1955,1950,1950,1950,5,0.11208663856853265,-119.686,34.527
814,,Unknown,Historical,1906,1932,1906,1932,1900,1930,1900,5,1.6408516170051772,-120.4493,34.6452
815,,Unknown,Historical,1906,1960,1906,1960,1900,1960,1900,5,0.151881181,-120.429999,34.644167
816,,Unknown,Historical,1947,1956,1947,1956,1940,1950,1940,5,0.081994727,-120.455556,34.669444
817,,Unknown,Historical,1947,,1947,,1940,,1940,5,0.009285504,-119.863889,34.543611
818,,Unknown,Historical,1947,1950,1947,1950,1940,1950,1940,5,0.1226246772621595,-120.425,34.636111
819,,Unknown,Historical,1970,1971,1970,1971,1970,1970,1970,5,0.022260968060252868,-120.248611,34.610555
821,,Unknown,Historical,1954,1960,1954,1960,1950,1960,1950,5,0.023939460250231824,-120.099998,34.584999
825,,Unknown,Historical,1932,1933,1932,1933,1930,1930,1930,4,0.025101633118389723,-120.1136,34.6508
826,,Unknown,Historical,1928,1939,1928,1939,1920,1930,1920,5,0.14508604051534096,-120.144444,34.586111
827,,Unknown,Historical,1906,1916,1906,1916,1900,1910,1900,2,0.12096545828627948,-120.4648,34.6333
